movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Gross Profit
Live by Night,2015,199810100,65000000,10378555,11395877,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,129,"-$43,225,568.00"
Child 44,2014,212070100,50000000,1224330,6779891,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,137,"-$41,995,779.00"
The Last Legion,2007,44660100,67000000,5932060,19425711,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,110,"-$41,642,229.00"
Nomad,2007,82590100,40000000,79123,0,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,,"-$39,920,877.00"
The Invasion,2007,30170100,80000000,15074191,25072851,PG-13,Science Fiction,Remake,Live Action,Thriller/Suspense,0,99,"-$39,852,958.00"
Dragon Nest Warriors' Dawn,2014,245340100,40000000,0,734423,,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,0,"-$39,265,577.00"
Delgo,2008,62400100,40000000,915840,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,89,"-$39,084,160.00"
Imagine That,2009,29070100,55000000,16222392,0,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,115,"-$38,777,608.00"
USS Indianapolis: Men of Courage,2016,262080100,40000000,0,1663785,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,110,"-$38,336,215.00"
Winter's Tale,2013,196470100,60000000,12600231,9868389,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,118,"-$37,531,380.00"
Street Fighter: The Legend of Chun-Li,2009,38580100,50000000,8742261,3918026,PG-13,Contemporary Fiction,Based on Game,Live Action,Action,0,96,"-$37,339,713.00"
Scott Pilgrim vs. The World,2010,137510100,85000000,31611316,16445448,PG-13,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Comedy,0,112,"-$36,943,236.00"
Jonah Hex,2010,109710100,47000000,10547117,475579,PG-13,Historical Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,81,"-$35,977,304.00"
Rock Dog,2016,263890100,60000000,9420546,14727942,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,80,"-$35,851,512.00"
King Arthur: Legend of the Sword,2016,206470100,175000000,39175066,100455270,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,0,126,"-$35,369,664.00"
Miracle at St. Anna,2008,40730100,45000000,7916887,1759610,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,160,"-$35,323,503.00"
The Lovers,2015,221610100,35000000,0,53899,PG-13,Historical Fiction,Original Screenplay,Live Action,Adventure,0,109,"-$34,946,101.00"
Basic Instinct 2,2006,44650100,70000000,5946136,29471026,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1,114,"-$34,582,838.00"
Shanghai,2010,120790100,50000000,46425,15459497,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,104,"-$34,494,078.00"
Queen of the Desert,2015,222090100,36000000,0,1578543,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,127,"-$34,421,457.00"
Trespass,2011,143600100,35000000,16816,769716,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,90,"-$34,213,468.00"
The Warrior's Way,2010,140070100,42000000,5666340,2847985,R,Historical Fiction,Original Screenplay,Live Action,Western,0,100,"-$33,485,675.00"
Deepwater Horizon,2015,213250100,156000000,61433527,61170297,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,107,"-$33,396,176.00"
The Big Year,2010,140960100,41000000,7204138,480386,PG,Contemporary Fiction,Based on Factual Book/Article,Live Action,Comedy,0,100,"-$33,315,476.00"
Freaks of Nature,2015,242200100,33000000,70958,0,R,Fantasy,Original Screenplay,Live Action,Black Comedy,0,92,"-$32,929,042.00"
The Kid Who Would Be King,2018,288100100,59000000,16674053,9400000,PG,Fantasy,Original Screenplay,Live Action,Adventure,,132,"-$32,925,947.00"
The Young and Prodigious T.S. Spivet,2013,228150100,33000000,176847,180840,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,105,"-$32,642,313.00"
Virgin Territory,2007,118090100,38000000,0,5473041,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$32,526,959.00"
Bullet to the Head,2011,166240100,55000000,9489829,13108140,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,91,"-$32,402,031.00"
The Hunting Party,2007,62820100,40000000,876671,6852881,R,Dramatization,Based on Factual Book/Article,Live Action,Adventure,0,,"-$32,270,448.00"
There Be Dragons,2011,148870100,36000000,1069334,2951656,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,120,"-$31,979,010.00"
The Interview,2014,195480100,44000000,6105175,6237457,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,111,"-$31,657,368.00"
Agora,2009,132890100,70000000,619423,38372869,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,,"-$31,007,708.00"
Land of the Lost,2009,11210100,100000000,49438370,20110271,PG-13,Fantasy,Based on TV,Live Action,Comedy,0,102,"-$30,451,359.00"
Micmacs,2009,135760100,42000000,1259693,10497229,R,Contemporary Fiction,,Live Action,Comedy,0,105,"-$30,243,078.00"
United Passions,2014,231820100,30000000,918,167914,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,110,"-$29,831,168.00"
Space Pirate Captain Harlock,2013,227710100,30000000,0,310985,,Science Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,0,115,"-$29,689,015.00"
Mortdecai,2015,206740100,60000000,7696134,22700000,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,107,"-$29,603,866.00"
Bilal: A New Breed of Hero,2016,265190100,30000000,490973,157626,PG-13,Dramatization,Based on Real Life Events,Digital Animation,Adventure,0,103,"-$29,351,401.00"
The Express,2008,37800100,37500000,9793406,19903,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,130,"-$27,686,691.00"
Soul Men,2008,34060100,40000000,12082391,263492,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,103,"-$27,654,117.00"
The Sisters Brothers,2017,239530100,38000000,3143056,7227660,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,0,121,"-$27,629,284.00"
Goodbye Bafana,2007,116840100,30000000,0,2717302,,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,140,"-$27,282,698.00"
The Infiltrator,2016,216910100,47500000,15436808,5281296,R,Dramatization,Based on Factual Book/Article,Live Action,Thriller/Suspense,0,127,"-$26,781,896.00"
Free State of Jones,2015,146240100,50000000,20810036,2427216,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,139,"-$26,762,748.00"
Conan the Barbarian,2010,139070100,90000000,21295021,42061112,R,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0,112,"-$26,643,867.00"
Speed Racer,2008,12600100,120000000,43945766,49448696,PG,Science Fiction,Based on TV,Live Action,Action,0,135,"-$26,605,538.00"
Pourquoi j'ai pas mangé mon père,2015,246520100,42000000,0,15451663,,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,101,"-$26,548,337.00"
Nine,2009,116330100,80000000,19676965,33831893,PG-13,Contemporary Fiction,Based on Musical or Opera,Live Action,Musical,0,118,"-$26,491,142.00"
"Che, Part 1: The Argentine",2008,71930100,58000000,1802521,29824849,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,134,"-$26,372,630.00"
Machine Gun Preacher,2010,147590100,30000000,538690,3183298,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,123,"-$26,278,012.00"
Accidental Love,2014,121740100,26000000,0,135436,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,81,"-$25,864,564.00"
Wild Card,2014,205520100,30000000,3200,4312589,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,92,"-$25,684,211.00"
The Good German,2006,59180100,32000000,1308696,5369337,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105,"-$25,321,967.00"
Savva. Serdtse voyna,2015,249480100,30000000,0,4847112,,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,85,"-$25,152,888.00"
Genghis Khan: To the Ends of the Earth and Sea,2007,100700100,30000000,3892,4870606,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,136,"-$25,125,502.00"
Red Sky,2014,147080100,25000000,0,91116,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,108,"-$24,908,884.00"
Yi ge ren de wu lin,2014,227340100,25000000,129115,0,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Action,0,100,"-$24,870,885.00"
Love Ranch,2009,119170100,25000000,137885,8264,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,,"-$24,853,851.00"
Punisher: War Zone,2008,40290100,35000000,8050977,2106557,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,103,"-$24,842,466.00"
What Just Happened,2008,60770100,27000000,1090947,1321176,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,110,"-$24,587,877.00"
Sin City: A Dame to Kill For,2011,123940100,65000000,13757804,26893038,R,Fantasy,Based on Comic/Graphic Novel,Live Action,Action,1,101,"-$24,349,158.00"
Your Highness,2010,111670100,50000000,21596445,4525193,R,Fantasy,Original Screenplay,Live Action,Comedy,0,102,"-$23,878,362.00"
Me and Orson Welles,2009,110900100,25000000,1190003,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113,"-$23,809,997.00"
Birth of the Dragon,2016,247810100,31000000,6901965,318525,PG-13,Historical Fiction,Based on Real Life Events,Live Action,Action,0,91,"-$23,779,510.00"
Collide,2015,218170100,29200000,2280004,3186694,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,99,"-$23,733,302.00"
Paranoia,2012,176590100,40000000,7388654,8952113,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,146,"-$23,659,233.00"
Upside Down,2010,149940100,50000000,102118,26284921,PG-13,Science Fiction,Original Screenplay,Live Action,Romantic Comedy,0,113,"-$23,612,961.00"
The Rum Diary,2010,104890100,45000000,13109815,8434917,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,122,"-$23,455,268.00"
Astro Boy,2009,125850100,65000000,19551067,22085176,PG,Super Hero,Based on Comic/Graphic Novel,Digital Animation,Adventure,0,100,"-$23,363,757.00"
47 Ronin,2013,140680100,175000000,38362475,113354340,PG-13,Fantasy,Original Screenplay,Live Action,Action,0,127,"-$23,283,185.00"
A Hologram for the King,2015,214600100,35000000,4212494,7633516,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,97,"-$23,153,990.00"
Blood Ties,2013,200840100,26000000,42472,2881487,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,128,"-$23,076,041.00"
Pandorum,2009,115070100,40000000,10330853,6702578,R,Science Fiction,Original Screenplay,Live Action,Horror,0,108,"-$22,966,569.00"
Rules Don’t Apply,2016,263150100,26700000,3652206,219242,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,127,"-$22,828,552.00"
Silence,2016,145370100,46500000,7100177,16626449,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,161,"-$22,773,374.00"
Whiteout,2009,38250100,35000000,10275638,1979108,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0,101,"-$22,745,254.00"
Zoom,2006,34430100,35000000,11989328,516860,PG,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0,,"-$22,493,812.00"
DOA: Dead or Alive,2007,67470100,30000000,480314,7275372,PG-13,Fantasy,Based on Game,Live Action,Action,0,,"-$22,244,314.00"
The Love Guru,2008,17610100,62000000,32235793,7923224,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,87,"-$21,840,983.00"
Unfinished Business,2014,199820100,35000000,10219501,2994550,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91,"-$21,785,949.00"
Obitaemyy ostrov,2009,123810100,36500000,0,15000000,,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,,"-$21,500,000.00"
The Soloist,2009,17920100,60000000,31853584,6668866,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,117,"-$21,477,550.00"
We Are Marshall,2006,12750100,65000000,43545364,0,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,,"-$21,454,636.00"
Xinhai geming,2011,167430100,30000000,135739,8457415,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,118,"-$21,406,846.00"
The Gunman,2015,208660100,40000000,10664749,7929478,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,115,"-$21,405,773.00"
BloodRayne,2006,54100100,25000000,2405420,1306213,R,Fantasy,Based on Game,Live Action,Action,0,92,"-$21,288,367.00"
Jane Got a Gun,2014,200410100,25000000,1513793,2257552,R,Historical Fiction,Original Screenplay,Live Action,Western,0,98,"-$21,228,655.00"
Barney's Version,2009,110420100,30000000,7502560,1343015,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,132,"-$21,154,425.00"
The Spirit,2008,25460100,60000000,19806188,19200000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,102,"-$20,993,812.00"
Molière,2007,65350100,21600000,635733,155421,PG-13,Dramatization,,Live Action,Comedy,0,,"-$20,808,846.00"
The Finest Hours,2016,218740100,70000000,27569558,21683203,PG,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,116,"-$20,747,239.00"
Bitter Harvest,2015,245990100,21000000,557241,48921,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,103,"-$20,393,838.00"
Chéri,2009,53160100,23000000,2715657,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,92,"-$20,284,343.00"
Amelia,2009,133430100,40000000,14279575,5476502,PG,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,111,"-$20,243,923.00"
City of Ember,2008,40790100,38000000,7873007,9958551,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,90,"-$20,168,442.00"
Flood,2007,126440100,24000000,0,4084232,,,,Live Action,,0,,"-$19,915,768.00"
Kin,2017,313150100,30000000,5718096,4378725,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,102,"-$19,903,179.00"
The Fifth Estate,2013,186900100,26000000,3254172,2900000,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,128,"-$19,845,828.00"
The Tempest,2010,136850100,20000000,277943,0,PG-13,Historical Fiction,Based on Play,Live Action,Drama,0,109,"-$19,722,057.00"
Ironclad,2011,145190100,25000000,0,5297411,R,Historical Fiction,Original Screenplay,Live Action,Action,0,120,"-$19,702,589.00"
The Fountain,2006,36990100,35000000,10144010,5317628,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,96,"-$19,538,362.00"
The History of Love,2016,230830100,20000000,0,476624,Not Rated,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,134,"-$19,523,376.00"
Our Brand is Crisis,2014,214770100,28000000,7002261,1592297,R,Contemporary Fiction,Based on Movie,Live Action,Drama,0,100,"-$19,405,442.00"
Downsizing,2017,144800100,68000000,24449754,24242765,R,Science Fiction,Original Screenplay,Live Action,Comedy,0,135,"-$19,307,481.00"
Alex Rider: Operation Stormbreaker,2006,65100100,40000000,659210,20063240,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,,"-$19,277,550.00"
Middle Men,2010,115420100,20000000,754301,0,R,Historical Fiction,Original Screenplay,Live Action,Comedy,0,105,"-$19,245,699.00"
A Thousand Words,2011,115660100,40000000,18450127,2340359,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91,"-$19,209,514.00"
All Good Things,2010,126410100,20000000,582024,291593,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,101,"-$19,126,383.00"
The Oogieloves in the BIG Balloon Adventure,2010,138160100,20000000,1065907,0,G,Kids Fiction,Original Screenplay,Live Action,Adventure,0,88,"-$18,934,093.00"
Taking Woodstock,2009,41490100,29000000,7460204,2606162,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,121,"-$18,933,634.00"
The Burning Plain,2009,84850100,20000000,200730,966362,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,,"-$18,832,908.00"
Rogue,2008,95820100,23000000,10452,4662925,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,99,"-$18,326,623.00"
Survivor,2015,217830100,20000000,0,1703281,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,96,"-$18,296,719.00"
Tulip Fever,2015,216620100,25000000,2455635,4337133,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105,"-$18,207,232.00"
Stone,2010,140080100,22000000,1810078,2254942,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,105,"-$17,934,980.00"
Wolves,2014,216230100,18000000,0,94953,R,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Horror,0,91,"-$17,905,047.00"
The Hoax,2007,41990100,25000000,7164995,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,116,"-$17,835,005.00"
My All-American,2015,147780100,20000000,2246000,0,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,118,"-$17,754,000.00"
I Am Wrath,2016,227470100,18000000,0,309608,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,92,"-$17,690,392.00"
The Informers,2009,71140100,18000000,315000,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,,"-$17,685,000.00"
Martian Child,2007,41320100,27000000,7500310,1851779,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,108,"-$17,647,911.00"
LBJ,2016,235070100,20000000,2468683,38498,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,98,"-$17,492,819.00"
I Come with the Rain,2008,112940100,18000000,0,627422,,Contemporary Fiction,,,Thriller/Suspense,0,114,"-$17,372,578.00"
Evening,2007,33730100,30000000,12406646,478928,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,117,"-$17,114,426.00"
Stolen,2012,177140100,35000000,289773,17677973,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,96,"-$17,032,254.00"
Astérix et Obélix: Au service de Sa Majesté ,2012,184080100,77600000,0,60680125,,Fantasy,Based on Comic/Graphic Novel,Live Action,Adventure,1,110,"-$16,919,875.00"
Red Dawn,2010,114370100,65000000,44806783,3357367,PG-13,Contemporary Fiction,Remake,Live Action,Action,0,93,"-$16,835,850.00"
Phantom,2012,185040100,18000000,1034589,164921,R,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,97,"-$16,800,490.00"
La véritable histoire du Chat Botté,2009,161480100,25000000,0,8208594,G,,,,,0,0,"-$16,791,406.00"
Leatherheads,2008,18140100,58000000,31373938,9974690,PG-13,Historical Fiction,Original Screenplay,Live Action,Romantic Comedy,0,114,"-$16,651,372.00"
Southland Tales,2007,72450100,17000000,275380,89227,R,Contemporary Fiction,Original Screenplay,Live Action,Musical,0,,"-$16,635,393.00"
Sabotage,2014,198490100,35000000,10508518,7867925,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,110,"-$16,623,557.00"
Carlos,2010,139660100,18000000,145526,1473627,Not Rated,Dramatization,Based on Real Life Events,Live Action,Drama,0,123,"-$16,380,847.00"
By the Sea,2015,215960100,20000000,538460,3189286,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,122,"-$16,272,254.00"
How to Lose Friends & Alienate People,2008,53010100,28000000,2775593,9255850,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,105,"-$15,968,557.00"
Good,2008,89950100,16000000,31631,0,R,Historical Fiction,Based on Play,Live Action,Drama,0,,"-$15,968,369.00"
The Beaver,2010,141380100,21000000,970816,4075222,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91,"-$15,953,962.00"
Vamps,2011,144890100,16000000,3361,91451,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,92,"-$15,905,188.00"
Bandidas,2006,110030100,35000000,0,19282590,PG-13,Historical Fiction,Original Screenplay,Live Action,Western,0,93,"-$15,717,410.00"
On the Road,2010,143130100,25000000,720828,8592474,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,125,"-$15,686,698.00"
Across the Universe,2007,22040100,45000000,24343673,5023470,PG-13,Historical Fiction,Original Screenplay,Live Action,Musical,0,133,"-$15,632,857.00"
Matilda,2017,309270100,25000000,0,9370285,,Dramatization,Based on Real Life Events,Live Action,Drama,0,130,"-$15,629,715.00"
"Synecdoche, New York",2008,51760100,20000000,3083538,1300000,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,124,"-$15,616,462.00"
Renaissance,2006,83460100,18000000,70644,2330769,R,Science Fiction,Original Screenplay,Digital Animation,Action,0,105,"-$15,598,587.00"
Belka i Strelka. Zvezdnye sobaki,2010,151200100,25000000,0,9445081,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,85,"-$15,554,919.00"
Passchendaele,2008,47890100,20000000,4452423,904,Not Rated,Dramatization,Original Screenplay,Live Action,Drama,0,114,"-$15,546,673.00"
Flash of Genius,2008,47930100,20000000,4442377,61734,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,119,"-$15,495,889.00"
Just Getting Started,2017,264800100,22000000,6069605,686807,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,90,"-$15,243,588.00"
The Yellow Handkerchief,2008,107610100,15500000,318623,0,PG-13,,Remake,Live Action,Drama,0,,"-$15,181,377.00"
Extraordinary Measures,2009,128920100,31000000,12482741,3344243,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,106,"-$15,173,016.00"
The Lone Ranger,2013,126310100,275000000,89302115,170700000,PG-13,Historical Fiction,Based on TV,Live Action,Western,0,149,"-$14,997,885.00"
Broken Horses,2013,189510100,15000000,0,3471,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,101,"-$14,996,529.00"
The Good Night,2007,91240100,15000000,22441,0,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,,"-$14,977,559.00"
Hands of Stone,2015,232060100,20000000,4712792,319183,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,105,"-$14,968,025.00"
Winnie Mandela,2010,150310100,15000000,61847,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,103,"-$14,938,153.00"
In Dubious Battle,2015,226900100,15000000,0,214182,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110,"-$14,785,818.00"
Big Miracle,2011,145310100,40000000,20157300,5111380,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,117,"-$14,731,320.00"
The Proposition,2006,56400100,20000000,1903434,3410174,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,,"-$14,686,392.00"
The Assassination of Jesse James by the Coward Robert Ford,2007,49520100,30000000,3909149,11404482,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Western,0,160,"-$14,686,369.00"
Snowden,2015,218690100,50000000,21587519,13793399,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,134,"-$14,619,082.00"
Enter the Void,2010,139650100,16000000,337997,1129281,Not Rated,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,106,"-$14,532,722.00"
FUR: An Imaginary Portrait of Diane Arbus,2006,74420100,16800000,223202,2057887,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,115,"-$14,518,911.00"
The Reluctant Fundamentalist,2012,181610100,15000000,528731,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,128,"-$14,471,269.00"
The Brothers Bloom,2009,50520100,20000000,3531756,2000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,114,"-$14,468,244.00"
Walk Hard: The Dewey Cox Story,2007,26770100,35000000,18317151,2288902,R,Historical Fiction,Original Screenplay,Live Action,Comedy,0,96,"-$14,393,947.00"
"Men, Women and Children",2014,213380100,16000000,705908,979495,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,119,"-$14,314,597.00"
Slow Burn,2007,59620100,15500000,1237615,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,93,"-$14,262,385.00"
Robin Hood,2018,243130100,99000000,30824628,53922813,PG-13,Historical Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Action,0,116,"-$14,252,559.00"
Serenity,2018,321750100,25000000,8540680,2301588,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,103,"-$14,157,732.00"
Zulu,2013,242880100,16000000,0,1844228,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,0,"-$14,155,772.00"
Love in the Time of Cholera,2007,47400100,45000000,4617608,26459810,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,133,"-$13,922,582.00"
